Meat,Type,Sandwich,Calories,TotalFat_g,Sodium_mg,CaloriesFromFat,SaturatedFat_g,TransFat_g,Cholesterol_mg,Carbohydrates_g,Fiber_g,Sugars_g,Protein_g,Restaurant
Beef,Just Meat,Smokehouse Brisket,610,35,1230,320,12.0,1.0,110,42,3,7,35,Arby's
Turkey,Sandwich,Grand Turkey Club,490,24,1440,220,8.0,0.0,75,38,2,8,29,Arby's
Beef,Crossover,Angus Philly,590,29,1760,270,9.0,1.0,85,48,3,4,34,Arby's
Beef,Sandwich,Angus Three Cheese & Bacon Sandwich,640,33,1820,300,12.0,1.0,105,45,2,3,41,Arby's
Beef,Burger,A.1.® Ultimate Bacon Cheeseburger,850,51,1480,460,22.0,3.0,140,43,1,8,41,Burger King
Beef,Burger,Bacon Cheeseburger,330,16,830,140,7.0,0.0,55,32,1,7,18,Burger King
Beef,Burger,Bacon Cheeseburger Deluxe,290,14,720,120,6.0,0.5,40,28,1,7,12,Burger King
Beef,Burger,Big King,530,31,790,280,11.0,1.5,75,38,2,8,19,Burger King
Beef,Burger,Cheeseburger BK,300,14,710,130,6.0,0.0,45,28,1,6,16,Burger King
Beef,Burger,Double Bacon Cheeseburger,520,31,1180,280,14.0,1.0,105,33,1,8,31,Burger King
Beef,Burger,Double Cheeseburger BK,450,26,960,230,12.0,1.0,95,29,1,6,26,Burger King
Beef,Burger,Double Hamburger,360,18,520,160,8.0,0.0,70,28,1,6,22,Burger King
Beef,Burger,Extra Long BBQ Cheeseburger,590,28,1080,250,11.0,1.5,70,62,4,14,22,Burger King
Beef,Burger,Hamburger BK,260,10,490,90,4.0,0.0,35,28,1,6,13,Burger King
Beef,Burger,King Jr. Cheeseburger,310,17,580,150,6.0,0.5,40,26,1,5,11,Burger King
Chicken,Sandwich,Bacon Cheddar TENDERCRISP® Chicken Sandwich,740,47,1770,420,12.0,0.5,105,49,4,7,33,Burger King
Fish,Sandwich,Big Fish Sandwich,530,27,1360,250,4.5,0.0,30,54,2,7,17,Burger King
Veggie,Burger,BK VEGGIE Burger,410,16,1030,150,3.0,0.0,5,44,7,8,22,Burger King
Chicken,Just Meat,Buffalo Chicken Strips (3pc),380,20,1820,180,3.5,0.0,55,27,3,0,22,Burger King
Chicken,Just Meat,Buffalo Chicken Strips (5pc),620,33,2920,300,5.0,0.5,90,45,4,1,37,Burger King
Chicken,Just Meat,Chicken Fries,290,17,780,150,3.0,1.5,40,18,1,1,16,Burger King
Chicken,Just Meat,Chicken Nuggets (6 pc),290,17,460,150,3.0,0.0,40,15,1,0,15,Burger King
Chicken,Just Meat,Chicken Nuggets (10pc),470,29,890,260,5.0,0.0,50,34,5,0,21,Burger King
